Date,Open,High,Low,Close,Volume,VIX,Exchange,Crude
2017-06-29,9522.95,9575.8,9493.8,9504.1,267284000,11.3825,64.66,44.93
2017-06-30,9478.5,9535.8,9448.75,9520.9,185203008,11.7325,64.62,46.04
2017-07-03,9587.95,9624.0,9543.55,9615.0,188691008,11.2,64.845,47.07
2017-07-04,9645.9,9650.65,9595.5,9613.3,149314000,11.275,64.79,47.13
2017-07-05,9619.75,9643.65,9607.35,9637.6,134848992,11.1525,64.8,45.13
2017-07-06,9653.6,9700.7,9639.95,9674.55,152002000,10.9825,64.725,45.52
2017-07-07,9670.35,9684.25,9642.65,9665.8,146232000,10.8675,64.625,44.23
2017-07-10,9719.3,9782.15,9646.45,9771.05,38745000,10.9125,64.475,44.4
2017-07-11,9797.45,9830.05,9778.85,9786.05,185322000,10.89,64.565,45.04
2017-07-12,9807.3,9824.95,9787.7,9816.1,150046000,11.0525,64.475,45.49
2017-07-13,9855.8,9897.25,9853.45,9891.7,186867008,11.2475,64.46,46.08
2017-07-14,9913.3,9913.3,9845.45,9886.35,164456992,11.1725,64.424,46.54
2017-07-17,9908.15,9928.2,9894.7,9915.95,168596992,11.4575,64.345,46.02
2017-07-18,9832.7,9885.35,9792.05,9827.15,303008000,11.49,64.316,46.4
2017-07-19,9855.95,9905.05,9851.65,9899.6,206376000,11.255,64.27,47.12
2017-07-20,9920.2,9922.55,9863.45,9873.3,166083008,11.315,64.375,46.79
2017-07-21,9899.6,9924.7,9838.0,9915.25,193286000,11.085,64.385,45.77
